Name,Reference,Distorted,Metric,Metric_val,Mask,Time,Comparison,Codec,Preset,Sequence,Crf,Real_bitrate,Subjective,Video_name
tractor,tractor_short_1920x1080_25.yuv,enc_res_sif_mv_subjective_tractor_short_1000,ssim,0.8992,True,267,2019,sif,mv_subjective,tractor_short,1000,1824,0.0,enc_res_sif_mv_subjective_tractor_short_1000
tractor,tractor_short_1920x1080_25.yuv,enc_res_sif_mv_subjective_tractor_short_2000,ssim,0.922,False,233,2019,sif,mv_subjective,tractor_short,2000,3709,1.441790029541323,enc_res_sif_mv_subjective_tractor_short_2000
tractor,tractor_short_1920x1080_25.yuv,enc_res_sif_mv_subjective_tractor_short_2000,ssim,0.9258,True,276,2019,sif,mv_subjective,tractor_short,2000,3709,1.441790029541323,enc_res_sif_mv_subjective_tractor_short_2000
tractor,tractor_short_1920x1080_25.yuv,enc_res_sif_mv_subjective_tractor_short_4000,ssim,0.9423,False,238,2019,sif,mv_subjective,tractor_short,4000,7430,1.9680738535304287,enc_res_sif_mv_subjective_tractor_short_4000
tractor,tractor_short_1920x1080_25.yuv,enc_res_sif_mv_subjective_tractor_short_4000,ssim,0.9443,True,282,2019,sif,mv_subjective,tractor_short,4000,7430,1.9680738535304287,enc_res_sif_mv_subjective_tractor_short_4000
tractor,tractor_short_1920x1080_25.yuv,enc_res_sz265_mv_subjective_tractor_short_1000,ssim,0.9313,False,207,2019,sz265,mv_subjective,tractor_short,1000,1759,1.3339840413115167,enc_res_sz265_mv_subjective_tractor_short_1000
tractor,tractor_short_1920x1080_25.yuv,enc_res_sz265_mv_subjective_tractor_short_1000,ssim,0.9307,True,252,2019,sz265,mv_subjective,tractor_short,1000,1759,1.3339840413115167,enc_res_sz265_mv_subjective_tractor_short_1000
tractor,tractor_short_1920x1080_25.yuv,enc_res_sz265_mv_subjective_tractor_short_2000,ssim,0.9529,False,281,2019,sz265,mv_subjective,tractor_short,2000,3609,2.054659298890064,enc_res_sz265_mv_subjective_tractor_short_2000
tractor,tractor_short_1920x1080_25.yuv,enc_res_sz265_mv_subjective_tractor_short_2000,ssim,0.952,True,329,2019,sz265,mv_subjective,tractor_short,2000,3609,2.054659298890064,enc_res_sz265_mv_subjective_tractor_short_2000
tractor,tractor_short_1920x1080_25.yuv,enc_res_sz265_mv_subjective_tractor_short_4000,ssim,0.9648,False,313,2019,sz265,mv_subjective,tractor_short,4000,7435,2.421723782031676,enc_res_sz265_mv_subjective_tractor_short_4000
tractor,tractor_short_1920x1080_25.yuv,enc_res_sz265_mv_subjective_tractor_short_4000,ssim,0.9628,True,370,2019,sz265,mv_subjective,tractor_short,4000,7435,2.421723782031676,enc_res_sz265_mv_subjective_tractor_short_4000
tractor,tractor_short_1920x1080_25.yuv,enc_res_t265_mv_subjective_tractor_short_1000,ssim,0.9384,False,266,2019,t265,mv_subjective,tractor_short,1000,1883,1.65347730980635,enc_res_t265_mv_subjective_tractor_short_1000
tractor,tractor_short_1920x1080_25.yuv,enc_res_t265_mv_subjective_tractor_short_1000,ssim,0.9395,True,320,2019,t265,mv_subjective,tractor_short,1000,1883,1.65347730980635,enc_res_t265_mv_subjective_tractor_short_1000
tractor,tractor_short_1920x1080_25.yuv,enc_res_t265_mv_subjective_tractor_short_2000,ssim,0.9553,False,267,2019,t265,mv_subjective,tractor_short,2000,3764,2.169447046364846,enc_res_t265_mv_subjective_tractor_short_2000
tractor,tractor_short_1920x1080_25.yuv,enc_res_t265_mv_subjective_tractor_short_2000,ssim,0.9546,True,314,2019,t265,mv_subjective,tractor_short,2000,3764,2.169447046364846,enc_res_t265_mv_subjective_tractor_short_2000
