Metric,Sequence,Mask,Pearson,Spearman
ssim_fullframe_unsal,wedding_party_short,False,0.95916,0.94021
ssim_raw_sal,wedding_party_short,True,0.09684,0.50167
ssim_raw_unsal,wedding_party_short,False,0.27419,0.41791
