Name,Reference,Distorted,Metric,Metric_val,Mask,Time
tractor,tractor_short_1920x1080_25.yuv,enc_res_bytedance_mv_subjective_tractor_short_1000,ssim,0.9306,False,284
tractor,tractor_short_1920x1080_25.yuv,enc_res_bytedance_mv_subjective_tractor_short_1000,ssim,0.9273,True,323
tractor,tractor_short_1920x1080_25.yuv,enc_res_bytedance_mv_subjective_tractor_short_2000,ssim,0.9524,False,285
tractor,tractor_short_1920x1080_25.yuv,enc_res_bytedance_mv_subjective_tractor_short_2000,ssim,0.9495,True,348
tractor,tractor_short_1920x1080_25.yuv,enc_res_bytedance_mv_subjective_tractor_short_4000,ssim,0.9636,False,243
tractor,tractor_short_1920x1080_25.yuv,enc_res_bytedance_mv_subjective_tractor_short_4000,ssim,0.9608,True,289
tractor,tractor_short_1920x1080_25.yuv,enc_res_huawei_20190725_mv_subjective_tractor_short_1000,ssim,0.9365,False,239
tractor,tractor_short_1920x1080_25.yuv,enc_res_huawei_20190725_mv_subjective_tractor_short_1000,ssim,0.9374,True,288
tractor,tractor_short_1920x1080_25.yuv,enc_res_huawei_20190725_mv_subjective_tractor_short_2000,ssim,0.9482,False,246
tractor,tractor_short_1920x1080_25.yuv,enc_res_huawei_20190725_mv_subjective_tractor_short_2000,ssim,0.9489,True,292
tractor,tractor_short_1920x1080_25.yuv,enc_res_huawei_20190725_mv_subjective_tractor_short_4000,ssim,0.9574,False,258
tractor,tractor_short_1920x1080_25.yuv,enc_res_huawei_20190725_mv_subjective_tractor_short_4000,ssim,0.9569,True,300
tractor,tractor_short_1920x1080_25.yuv,enc_res_huawei_mv_subjective_tractor_short_1000,ssim,0.9405,False,262
tractor,tractor_short_1920x1080_25.yuv,enc_res_huawei_mv_subjective_tractor_short_1000,ssim,0.9404,True,305
tractor,tractor_short_1920x1080_25.yuv,enc_res_huawei_mv_subjective_tractor_short_2000,ssim,0.9552,False,241
tractor,tractor_short_1920x1080_25.yuv,enc_res_huawei_mv_subjective_tractor_short_2000,ssim,0.9545,True,284
tractor,tractor_short_1920x1080_25.yuv,enc_res_huawei_mv_subjective_tractor_short_4000,ssim,0.964,False,225
tractor,tractor_short_1920x1080_25.yuv,enc_res_huawei_mv_subjective_tractor_short_4000,ssim,0.9624,True,267
tractor,tractor_short_1920x1080_25.yuv,enc_res_mainconcept_mv_subjective_tractor_short_1000,ssim,0.9357,False,231
tractor,tractor_short_1920x1080_25.yuv,enc_res_mainconcept_mv_subjective_tractor_short_1000,ssim,0.9367,True,272
tractor,tractor_short_1920x1080_25.yuv,enc_res_mainconcept_mv_subjective_tractor_short_2000,ssim,0.9542,False,225
tractor,tractor_short_1920x1080_25.yuv,enc_res_mainconcept_mv_subjective_tractor_short_2000,ssim,0.9544,True,265
tractor,tractor_short_1920x1080_25.yuv,enc_res_mainconcept_mv_subjective_tractor_short_4000,ssim,0.9641,False,243
tractor,tractor_short_1920x1080_25.yuv,enc_res_mainconcept_mv_subjective_tractor_short_4000,ssim,0.9633,True,284
tractor,tractor_short_1920x1080_25.yuv,enc_res_sif_mv_subjective_tractor_short_1000,ssim,0.8948,False,226
tractor,tractor_short_1920x1080_25.yuv,enc_res_sif_mv_subjective_tractor_short_1000,ssim,0.8992,True,267
tractor,tractor_short_1920x1080_25.yuv,enc_res_sif_mv_subjective_tractor_short_2000,ssim,0.922,False,233
tractor,tractor_short_1920x1080_25.yuv,enc_res_sif_mv_subjective_tractor_short_2000,ssim,0.9258,True,276
tractor,tractor_short_1920x1080_25.yuv,enc_res_sif_mv_subjective_tractor_short_4000,ssim,0.9423,False,238
tractor,tractor_short_1920x1080_25.yuv,enc_res_sif_mv_subjective_tractor_short_4000,ssim,0.9443,True,282
tractor,tractor_short_1920x1080_25.yuv,enc_res_sz265_mv_subjective_tractor_short_1000,ssim,0.9313,False,207
tractor,tractor_short_1920x1080_25.yuv,enc_res_sz265_mv_subjective_tractor_short_1000,ssim,0.9307,True,252
tractor,tractor_short_1920x1080_25.yuv,enc_res_sz265_mv_subjective_tractor_short_2000,ssim,0.9529,False,281
tractor,tractor_short_1920x1080_25.yuv,enc_res_sz265_mv_subjective_tractor_short_2000,ssim,0.952,True,329
tractor,tractor_short_1920x1080_25.yuv,enc_res_sz265_mv_subjective_tractor_short_4000,ssim,0.9648,False,313
tractor,tractor_short_1920x1080_25.yuv,enc_res_sz265_mv_subjective_tractor_short_4000,ssim,0.9628,True,370
tractor,tractor_short_1920x1080_25.yuv,enc_res_t265_mv_subjective_tractor_short_1000,ssim,0.9384,False,266
tractor,tractor_short_1920x1080_25.yuv,enc_res_t265_mv_subjective_tractor_short_1000,ssim,0.9395,True,320
tractor,tractor_short_1920x1080_25.yuv,enc_res_t265_mv_subjective_tractor_short_2000,ssim,0.9553,False,267
tractor,tractor_short_1920x1080_25.yuv,enc_res_t265_mv_subjective_tractor_short_2000,ssim,0.9546,True,314
